"","Program","Service","CategoryName","ExpenseOrRevenue","Amount"
"1","1","1","1","1",240032.08
"2","1","1","2","1",37
"3","1","2","3","1",25357.01
"4","1","2","4","1",194276.92
"5","1","2","5","1",8529.25
"6","1","2","1","1",10903058.36
"7","1","2","2","1",1621425.35
"8","1","2","6","2",-5693589
"9","1","3","7","1",25905.28
"10","1","3","5","1",1059.25
"11","1","3","1","1",2922847.01
"12","1","3","2","1",10454.91
"13","1","3","8","2",-2624869.9
"14","1","4","1","1",1346861.88
"15","1","4","2","1",794
"16","2","5","7","1",1881
"17","2","5","3","1",833
"18","2","5","4","1",162884
"19","2","5","5","1",3848
"20","2","5","1","1",719131
"21","2","5","2","1",55558
"22","2","5","9","2",-166333
"23","2","5","10","2",-382806
"24","2","6","7","1",1881
"25","2","6","3","1",832
"26","2","6","4","1",162884
"27","2","6","5","1",3850
"28","2","6","1","1",718915
"29","2","6","2","1",55559
"30","2","6","9","2",-166333
"31","2","6","10","2",-383833
"32","2","7","7","1",1886
"33","2","7","3","1",833
"34","2","7","4","1",162884
"35","2","7","5","1",3853
"36","2","7","1","1",844969
"37","2","7","2","1",54090
"38","2","7","9","2",-166333
"39","2","7","6","2",-128520
"40","2","7","10","2",-382806
"41","3","8","11","1",546370
"42","3","8","7","1",270175.24
"43","3","8","3","1",44732.98
"44","3","8","5","1",2224298.1
"45","3","8","1","1",4478873.46
"46","3","8","2","1",1079405.09
"47","3","8","12","2",-993598.1
"48","3","8","13","2",-7658122.18
"49","4","9","7","1",29231.41
"50","4","9","3","1",3405.8
"51","4","9","5","1",464949.65
"52","4","9","14","1",7000
"53","4","9","1","1",6787007.51
"54","4","9","2","1",628435.96
"55","4","9","12","2",-1500
"56","4","9","13","2",-271930
"57","5","10","7","1",7680.85
"58","5","10","3","1",47126.03
"59","5","10","4","1",22272.48
"60","5","10","5","1",11030.04
"61","5","10","1","1",4783464.67
"62","5","10","2","1",101992.45
"63","6","11","11","1",216379464.96
"64","6","11","7","1",18911637.96
"65","6","11","4","1",978186.96
"66","6","11","14","1",486164265.01
"67","6","11","9","2",-16273000.08
"68","6","11","6","2",-2830457.04
"69","6","11","10","2",-2440580.04
"70","6","11","12","2",-1762044.96
"71","7","12","7","1",952318.2
"72","7","12","3","1",686869.54
"73","7","12","4","1",4626708.5
"74","7","12","5","1",2596160.48
"75","7","12","14","1",726600
"76","7","12","1","1",78497453.8500002
"77","7","12","2","1",276794489.48
"78","7","12","9","2",-3966918.99
"79","7","12","6","2",-10200000
"80","7","12","10","2",-257693416.75
"81","7","12","8","2",-984194.5
"82","7","12","13","2",-25569600
